frame,V,O
0,move,chessboard
60,move,game
120,hold,chessboard
180,open,drawer
240,,
300,hold,security
360,hold,video
420-600,,kitchen
660,open,door
720,hold,knife
780,open,refrigerator
840,touch,knife
900,,bottle
960,,laptop
1020-1320,,kitchen
1380,,front
1440,open,door
1500,wait,letter
1560,open,door
1620-1680,,front
1740,wait,document
1800,,front
1860,wait,document
1920,,reality
1980,tap,wall
2040,,reality
2100,wait,letter
2160,,front
2220,wait,document
2280,wait,letter
2340-2400,wait,document
2460,,front
2520,clean,kitchen
2580,tap,power
2640,touch,bottle
2700,tap,power
2760,open,bottle
2820,clean,kitchen
2880,clean,stove
2940,open,packet
3000,pour,drink
3060,tap,power
3120,clean,stove
3180-3240,,bottle
3300,split,home
3360,,kitchen
3420,split,home
3480,,microwave
3540,split,kitchen
3600-3660,hold,box
3720-3780,,kitchen
3840,split,kitchen
3900,cut,piece
3960-4020,,kitchen
4080-4140,,laptop
4200,split,home
4260,clean,kitchen
4320-4680,split,home
4740-4980,clean,kitchen
5040,clean,trash
5100,open,door
5160,cut,piece
5220,open,freezer
5280,split,home
5340,open,refrigerator
5400,touch,refrigerator
5460,put,tomato
5520,,desk
5580,,bottle
5640,pour,bottle
5700-5760,open,package
5820-5880,open,bag
5940,open,package
6000-6060,open,bag
6120,open,bottle
6180-6240,hold,plastic
6300,open,package
6360,put,bag
6420,put,condom
6480,open,bottle
6540,,lab
6600,open,package
6660,,kitchen
6720,open,package
6780,,kitchen
6840,open,bag
6900,split,kitchen
6960,,kitchen
7020,open,drawer
7080,pour,bottle
7140-7200,cut,tomato
7260,cut,meat
7320,open,package
7380,cut,tomato
7440,open,refrigerator
7500,split,home
7560,,lab
7620-7680,clean,kitchen
7740,,kitchen
7800,cut,tomato
7860-7920,cut,pizza
7980,cut,tomato
8040,cut,onion
8100-8520,cut,tomato
8580,cut,pepper
8640-8940,cut,tomato
9000,cut,toy
9060,put,plate
9120-9600,cut,tomato
9660,cut,pepper
9720-9960,cut,tomato
10020,cut,toy
10080-10320,cut,tomato
10380,cut,pizza
10440-10560,cut,tomato
10620,cut,knife
10680,cut,tomato
10740,cut,bottle
10800,clean,kitchen
10860,cut,knife
10920,cut,pizza
10980,cut,onion
11040-11400,cut,tomato
11460,cut,piece
11520-12360,cut,tomato
12420,cut,pepper
12480,cut,plastic
12540-12600,cut,pizza
12660-12900,cut,tomato
12960,clean,kitchen
13020-14880,cut,tomato
14940,cut,strawberry
15000-16680,cut,tomato
16740,,front
16800,,
16860-16920,,vr
16980,tap,wall
17040-17100,,vr
17160,hold,knife
17220,hold,frisbee
17280,,kitchen
17340,cut,tomato
17400,cut,pepper
17460,cut,tomato
17520,cut,pepper
17580,open,drawer
17640,cut,tomato
17700,,kitchen
17760,,knife
17820,cut,tomato
17880,cut,lemon
17940,clean,kitchen
18000,,kitchen
18060,cut,tomato
18120,pour,wine
18180,pour,bottle
18240,cut,apple
18300,cut,fruit
18360,,kitchen
18420,cut,bell
18480,pour,glass
18540,,kitchen
18600-18720,cut,banana
18780,cut,tomato
18840,touch,bottle
18900,cut,tomato
18960,pour,sauce
19020,tap,outlet
19080,pour,oil
19140-19200,cut,pizza
19260,tap,power
19320,cut,bell
19380,cut,tomato
19440,cut,pizza
19500-19560,cut,tomato
19620-19680,cut,banana
19740-19800,cut,tomato
19860,touch,bottle
19920,cut,banana
19980-20040,cut,apple
20100,cut,bell
20160,cut,cucumber
20220,open,bottle
20280,,salad
20340,cut,vegetable
20400,cut,pizza
20460,cut,avocado
20520-20640,cut,banana
20700,open,box
20760,,kitchen
20820,cut,tomato
20880,,kitchen
20940,cut,avocado
21000,cut,tomato
21060,cut,potato
21120,cut,banana
21180,cut,tomato
21240,peel,banana
21300,peel,tomato
21360,,meal
21420,pour,glass
21480-21540,cut,tomato
21600,cut,cake
21660-21720,cut,tomato
21780,cut,watermelon
21840,cut,tomato
21900,cut,steak
21960,cut,tomato
22020,,meal
22080-22140,cut,tomato
22200,open,tomato
22260-22380,cut,tomato
22440,cut,pizza
22500-22560,cut,tomato
22620,add,spoonful
22680,cut,tomato
22740,,kitchen
22800,put,plate
22860-22920,split,kitchen
22980,cut,tomato
23040,split,home
23100,,kitchen
23160,clean,kitchen
23220,tap,wall
23280,clean,kitchen
23340,hold,home
23400-23520,clean,kitchen
23580,hold,top
23640,hold,front
23700-23760,,front
23820-23940,,kitchen
24000-24120,,vr
24180,clean,kitchen
24240,,vr
24300-24540,clean,kitchen
24600,hold,top
24660,hold,home
24720-24780,,vr
24840,,front
24900-24960,,kitchen
25020-25080,split,kitchen
25140,,kitchen
25200,hold,tomato
25260,move,kitchen
25320,,plate
25380,hold,bowl
25440-25560,clean,kitchen
25620,hold,tomato
25680,,kitchen
25740,hold,knife
25800,hold,tomato
25860,hold,bottle
25920,pour,water
25980-26040,,kitchen
26100,hold,bottle
26160,,kitchen
26220,split,laboratory
26280,wash,glass
26340,pour,tomato
26400,pour,cup
26460,,kitchen
26520,touch,cup
26580-26700,,kitchen
26760,hold,knife
26820,clean,kitchen
26880-26940,,meal
27000,clean,kitchen
27060-27240,,kitchen
27300,open,refrigerator
27360,,fridge
27420,open,refrigerator
27480,,meal
27540,hold,package
27600,,meal
27660,,kitchen
27720,clean,sink
27780,hold,plastic
27840,pour,bowl
27900,cut,pizza
27960,,meal
28020-28080,split,egg
28140,hold,smoothie
28200,split,egg
28260,hold,tomato
28320,hold,spoon
28380,split,egg
28440,,meal
28500,pour,bowl
28560,,salad
28620-28740,split,egg
28800-28860,hold,tomato
28920-29160,split,egg
29220,hold,clipboard
29280-29340,,kitchen
29400-29460,split,home
29520,open,refrigerator
29580-29640,open,kitchen
29700,split,home
29760,open,door
29820,,kitchen
29880,open,refrigerator
29940,,freezer
30000,pour,bowl
30060-30120,,meal
30180,open,jar
30240,add,spice
30300,,meal
30360,pour,egg
30420,,food
30480,,meal
30540,hold,metal
30600,,meal
30660,,food
30720,split,egg
30780-31140,,meal
31200,split,egg
31260,,salad
31320,split,egg
31380,,meal
31440,split,egg
31500,hold,pizza
31560,,meal
31620,hold,pizza
31680-31740,,meal
31800,wash,dish
31860,,kitchen
31920,move,kitchen
31980,split,home
32040,,meal
32100,,kitchen
32160,,reality
32220,,kitchen
32280,,reality
32340,,front
32400,hold,video
32460,tap,power
32520,cut,tomato
32580,pour,oil
32640,add,oil
32700,pour,liquid
32760,add,bottle
32820,add,oil
32880-32940,,kitchen
33000,split,home
33060,open,refrigerator
33120,move,floor
33180,move,kitchen
33240-33420,move,floor
33480,split,home
33540,,kitchen
33600,,dish
33660,,meal
33720,hold,frying
33780,,kitchen
33840,hold,spatula
33900-33960,,kitchen
34020-34080,press,power
34140,,kitchen
34200,hold,spatula
34260,press,power
34320,,food
34380-34440,,kitchen
34500,split,home
34560-34620,,kitchen
34680,wash,dish
34740-35520,,kitchen
35580,press,cook
35640-36000,,kitchen
36060-36120,,food
36180,pour,amount
36240,hold,metal
36300,pour,water
36360,pour,pancake
36420,pour,glass
36480,pour,bowl
36540,hold,drone
36600,stir,egg
36660-36780,stir,omelette
36840,,
36900,,meal
36960,,food
37020-37080,stir,omelette
37140,,kitchen
37200,hold,pizza
37260,,kitchen
37320,hold,pizza
37380,,meal
37440,stir,egg
37500,cut,food
37560,cut,vegetable
37620,cut,food
37680-37740,,kitchen
37800,stir,omelette
37860,,kitchen
37920,,food
37980,cut,potato
38040,,food
38100,,kitchen
38160,pour,bowl
38220-38280,,kitchen
38340-38400,,meal
38460,,food
38520,,meal
38580,hold,omelette
38640,hold,tomato
38700,,meal
38760,,dish
38820,,meal
38880,cut,food
38940,touch,bottle
39000,,meal
39060,pour,oil
39120,cut,food
39180-39240,,meal
39300,,kitchen
39360,hold,metal
39420,wash,dish
39480,clean,kitchen
39540,split,kitchen
39600,put,bowl
39660,,kitchen
39720,,meal
39780-39840,,food
39900,,meal
39960,cut,vegetable
40020,,kitchen
40080,hold,knife
40140-40200,,kitchen
40260,clean,kitchen
40320,wash,dish
40380-40440,split,home
40500,split,kitchen
40560,split,home
40620,split,kitchen
40680,clean,kitchen
40740,wash,bowl
40800,pour,glass
40860,wash,dish
40920,pour,glass
40980,,kitchen
41040,wash,fish
41100,clean,kitchen
41160,,kitchen
41220,split,home
41280,wash,dish
41340,split,home
41400,pour,water
41460,wash,dish
41520,clean,kitchen
41580,wash,knife
41640,split,home
41700,wash,dish
41760,split,kitchen
41820-42000,split,home
42060,wash,knife
42120-42300,clean,kitchen
42360,split,home
42420,,kitchen
42480,clean,kitchen
42540,wash,dirty
42600-42780,clean,kitchen
42840,wash,pan
42900,clean,kitchen
42960,cut,orange
43020,,kitchen
43080-43140,clean,kitchen
43200,wash,dish
43260,split,kitchen
43320,split,plate
43380,clean,dirty
43440,clean,sink
43500,split,home
43560,,kitchen
43620,clean,kitchen
43680,wash,cup
43740,pour,cup
43800,wash,dish
43860-43980,clean,kitchen
44040,split,home
44100,clean,sink
44160-44220,split,home
44280,clean,kitchen
44340,clean,microwave
44400,wash,plate
44460-44580,split,home
44640,wash,dish
44700-44820,split,home
44880-44940,clean,kitchen
45000,split,home
45060,split,kitchen
45120,clean,kitchen
45180-45360,split,home
45420,wash,donut
45480,split,home
45540,clean,kitchen
45600,wash,dish
45660,split,home
45720,split,kitchen
45780,split,home
45840,clean,sink
45900-45960,split,home
46020,split,kitchen
46080,split,home
46140,clean,kitchen
46200,split,home
46260,clean,sink
46320-46440,wash,dish
46500,clean,kitchen
46560,wash,dish
46620,split,home
46680,wash,bowl
46740,,kitchen
46800,split,home
46860,wash,bowl
46920,clean,dirty
46980,wash,dish
47040,,kitchen
47100,wash,dish
47160,split,home
47220-47280,wash,dish
47340,split,home
47400,wash,dish
47460,clean,kitchen
47520-47640,split,home
47700,wash,sink
47760,clean,kitchen
47820,pour,glass
47880,wash,dish
47940,clean,kitchen
48000-48060,split,home
48120,clean,kitchen
48180,split,home
48240,split,kitchen
48300-48360,wash,dish
48420,split,home
48480,clean,kitchen
48540-48600,split,home
48660,clean,kitchen
48720,wash,dish
48780-48960,split,home
49020,pour,cup
49080-49140,split,home
49200,,food
49260,clean,sink
49320,,food
49380,,kitchen
49440,,food
49500,clean,kitchen
49560,clean,microwave
49620,,food
49680,split,home
49740-49860,clean,kitchen
49920,split,home
49980-50040,clean,kitchen
50100,wash,toothbrush
50160,split,kitchen
50220,,kitchen
50280,clean,stainless
50340-50400,split,home
50460,,kitchen
50520,split,home
50580-50640,clean,kitchen
50700,hold,pizza
50760-50940,split,home
51000-51060,,kitchen
51120,clean,kitchen
51180,,kitchen
51240,hold,ruler
51300,,kitchen
51360,,
51420,hold,device
51480-51600,,
51660-51720,hold,drone
51780-52200,,
52260-52380,hold,drone
52440,,
52500-52560,hold,drone
52620-52860,,
52920,hold,drone
52980-53220,,
